hr,lat,lon,mag,fingure_print
2604,-14.29,-65.63,6.29,976.6964
2605,13.14,-10.31,6.4,1263.7146
2606,5.06,-26.95,6.27,1013.61896
2607,-9.7,-55.73,5.46,754.0724
2608,-19.29,-78.6,4.95,1235.6261
2609,27.72,53.78,5.07,1737.4865
2610,3.31,-30.58,5.97,1401.7921
2611,-10.91,-58.42,6.23,846.4352
2612,-14.26,-65.83,6.23,1012.582
2613,5.08,-27.3,6.35,1060.7455
2614,-10.67,-58.12,6.37,938.3015
2615,9.16,-19.48,5.68,1113.7543
2616,-9.82,-56.55,5.59,916.6611
2617,26.67,35.44,6.5,1317.5972
2618,-11.33,-59.83,1.5,819.0669
2619,-13.49,-64.61,5.06,1039.5233
2620,16.06,-4.3,6.59,1240.0059
2621,-12.16,-61.72,6.42,1338.347
2622,-0.48,-38.72,6.3,946.87103
2623,-7.94,-53.19,6.26,849.8994
2624,-1.85,-41.43,5.96,1216.8107
2625,-7.21,-51.93,6.31,1088.6927
2626,-17.88,-75.83,6.22,1441.2727
2627,-2.15,-42.17,6.49,1041.9319
2628,-8.03,-53.72,6.53,933.4281
2629,4.47,-29.8,6.63,1192.7253
2630,13.06,-12.18,5.18,1262.9744
2631,10.35,-18.17,5.94,1347.1311
2632,9.28,-20.37,5.74,1205.6152
2633,4.86,-29.17,6.59,1153.0308
2634,-21.16,-85.81,6.27,1089.7694
2635,9.91,-19.18,5.82,1053.6497
2636,1.71,-35.32,6.17,1580.0746
2637,-10.71,-59.58,6.27,919.39355
2638,-21.37,-86.49,6.45,1086.0886
2639,-0.28,-39.22,5.2,933.63586
2640,-9.23,-56.62,5.63,870.85876
2641,-12.77,-64.21,6.4,1210.761
2642,25.0,23.44,6.44,1354.0647
2643,15.32,-7.43,5.93,1463.9741
2644,23.36,15.93,6.12,1729.1617
2645,21.93,10.75,6.38,1416.2139
2646,-10.27,-59.17,3.47,908.5381
2647,6.77,-26.1,5.97,1192.3608
2648,0.61,-38.01,4.99,1174.7224
2649,7.65,-24.5,5.13,1312.0653
2650,11.9,-15.75,3.79,1579.3163
2651,8.42,-23.04,5.98,1528.8079
2652,-19.48,-81.54,5.14,1019.43677
2653,-8.23,-55.55,3.02,893.39514
2654,3.55,-33.08,6.57,1738.7107
2655,0.38,-39.11,5.62,1129.6902
2656,-1.85,-43.36,6.45,920.6514
2657,-4.41,-48.25,4.12,1681.343
2658,-16.43,-73.77,6.43,836.97736
2659,13.01,-13.94,6.02,1130.6582
2660,17.78,-2.69,5.55,1290.7102
2661,-21.79,-89.21,6.02,1169.9614
2662,-24.22,-98.61,5.17,1324.9082
2663,7.31,-26.32,5.78,1317.4241
2664,-7.07,-54.11,6.09,1155.0029
2665,17.84,-3.24,5.91,1209.4565
2666,-15.72,-72.87,5.2,1067.2219
2667,-16.22,-74.09,5.54,856.61414
2668,-16.22,-74.09,6.79,856.61414
2669,15.66,-8.89,6.48,1148.9432
2670,-1.69,-44.05,6.49,873.3593
2671,13.47,-14.08,7.68,1194.1029
2672,-18.41,-79.91,4.93,1113.094
2673,17.94,-3.48,6.28,1274.9233
2674,-21.6,-89.54,5.5,1330.2952
2675,19.28,0.06,6.16,1684.4491
2676,5.72,-30.33,6.11,1219.289
2677,-12.42,-65.85,6.14,1282.1025
2678,-1.79,-44.71,5.39,861.3653
2679,-2.32,-45.68,6.48,1109.344
2680,-10.59,-62.08,6.34,1137.4977
2681,27.42,36.59,6.35,1643.7491
2682,7.03,-28.11,5.75,1357.0488
2683,-20.73,-87.11,5.17,1309.033
2684,10.86,-20.47,5.44,1154.2091
2685,-13.81,-69.27,6.11,1321.1279
2686,-7.94,-56.97,6.08,838.40735
2687,-18.47,-80.76,6.46,1110.7522
2688,-8.66,-58.52,6.62,770.4791
2689,-26.4,-111.11,5.45,1572.7288
2690,-7.34,-56.01,5.71,914.1459
2691,-14.63,-71.72,5.79,1093.5491
2692,13.46,-15.71,6.43,1422.7683
2693,-8.27,-58.42,1.84,779.60156
2694,-0.78,-44.17,6.21,980.21045
2695,-7.13,-56.34,6.65,906.73267
2696,20.46,1.73,4.9,1489.6732
2697,17.2,-7.22,4.41,1548.7065
2698,-18.75,-82.46,5.96,1087.279
2699,-3.44,-49.42,6.03,1551.196
2700,15.96,-10.51,5.78,1073.389
2701,2.23,-38.85,4.92,1460.6781
2702,-13.83,-70.69,4.83,1070.791
2703,24.18,14.2,5.47,1286.1083
2704,-7.48,-57.5,5.69,873.976
2705,-4.43,-51.68,6.23,1631.8986
2706,15.11,-13.21,5.85,1204.2257
2707,4.3,-35.48,5.45,1265.3093
2708,-8.37,-59.61,5.46,642.5123
2709,28.08,47.26,6.31,1098.2307
2710,7.11,-30.2,6.09,1201.1641
2711,16.4,-10.28,6.43,1151.6998
2712,-23.86,-99.73,6.47,1171.1404
2713,7.09,-30.39,6.16,1172.1013
2714,4.32,-35.7,4.15,1201.0156
2715,26.2,23.01,5.2,1550.1835
2716,-5.11,-53.8,5.84,1407.771
2717,12.04,-20.78,5.0,1303.6917
2718,-7.3,-58.4,5.92,807.9011
2719,-17.13,-79.7,5.14,1152.0475
2720,-9.49,-62.8,6.1,669.84424
2721,23.52,9.66,5.58,1497.7087
2722,15.76,-12.84,6.89,1101.9512
2723,-0.37,-45.4,5.78,814.3357
2724,-7.95,-59.8,6.59,580.03
2725,15.88,-12.7,5.82,1077.7349
