HR,Name,DM,HD,SAO,FK5,IFflag,r_IFflag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs19000,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
6745,Pi  Pav,CP-63 4292,165040,254147,3437,,,,,,10204,17,58,57.1,-,63,40,20,18,08,34.8,-,63,40,06,330.49,-19.59,4.35,,,+0.22,,+0.18,,,,A7pSr,,+0.013,-0.188,,+.036,-016,SB,,20,,,,,,*
6746,10Gam2Sgr,CD-3015215,165135,209696,679,I,,,,,10173,17,59,23.0,-,30,25,31,18,05,48.5,-,30,25,27,0.92,-04.54,2.99,,,+1.00,,+0.77,,+0.51,,K0III,,-0.053,-0.185,,+.025,+022,SB,,,,,,,,*
6747,,BD+01 3578,165174,123090,,,,,,,V986 Oph,17,59,34.4,+,01,54,51,18,04,37.3,+,01,55,09,29.27,11.29,6.14,,,0.00,,-0.91,,,,B0IIIn,,-0.002,-0.003,,,+017,SB?,,434,,,,,,*
6748,,CD-3612214,165185,209710,,,,,,,,17,59,38.2,-,36,01,39,18,06,23.7,-,36,01,11,356.04,-07.33,5.95,,,+0.62,,+0.07,,,,G5V,,+0.110,+0.015,,+.059,+013,,,,,,,,,
6749,,CD-4312272,165189,228708,,,,W,,A,,17,59,35.9,-,43,25,48,18,06,49.8,-,43,25,29,349.45,-10.86,5.77,H,,+0.22,,+0.16,,,,A5V,,-0.001,-0.099,D,+.021,-006,SB,,,,0.1,1.6,,,*
6750,,CD-4312272,165190,,,,,W,,B,,17,59,35.9,-,43,25,48,18,06,49.8,-,43,25,29,349.45,-10.86,5.77,H,,,,,,,,A5V,,-0.001,-0.099,D,+.021,-006,,,,,0.1,1.6,,,*
6751,,CP-73 1888,165259,257571,,,,W,,,,17,59,52.0,-,73,40,50,18,12,34.5,-,73,40,18,320.49,-23.29,5.85,,,+0.46,,+0.05,,,,F5V,,-0.053,-0.231,,+.031,+013,,,,,3.0,2.8,,,
6752,70    Oph,BD+02 3482,165341,123107,,I,,,11046,,,18,00,24.1,+,02,31,22,18,05,27.3,+,02,29,58,29.91,11.38,4.03,,,+0.86,,+0.54,,+0.46,,K0V,,+0.266,-1.093,,+.201,-007,SBO,,16,,1.8,1.9,AB,11,*
6753,,BD+48 2627,165358,47173,,,,,11028,,,18,00,32.1,+,48,27,34,18,03,09.0,+,48,27,52,75.85,27.69,6.21,,,+0.03,,+0.06,,,,A2V,,+0.029,+0.015,,,-013,,,,,2.7,26.8,AB,3,*
6754,,BD+23 3254,165373,85706,,,,,,,,18,00,32.0,+,23,56,15,18,04,40.2,+,23,56,33,50.11,20.48,6.34,,,+0.30,,+0.03,,,,F0IV-V,,+0.011,-0.057,,,-033,SB,,70,,,,,,
6755,,BD-08 4558,165402,142083,3436,,,,,,,18,00,40.5,-,08,19,54,18,06,07.4,-,08,19,26,20.30,6.14,5.85,,,+0.21,,-0.20,,,,B8III-IV,,-0.008,-0.016,,,-023,SB,,,,,,,,*
6756,,BD-04 4395,165438,142085,,,,,,,,18,00,55.7,-,04,45,33,18,06,15.2,-,04,45,05,23.48,7.82,5.77,,,+0.96,,+0.81,,,,K1+IV,,+0.141,-0.032,,,-019,V,,,,,,,,
6757,,BD-00 3414,165462,142084,,,,,,,,18,00,59.1,-,00,27,16,18,06,07.4,-,00,26,48,27.31,9.86,6.34,,,+1.06,,+0.76,,,,G8IIp,,-0.020,-0.029,,,-009,,,,,,,,,
6758,,BD+12 3383,165475,103373,,,,,11056,,,18,01,04.3,+,11,59,44,18,05,43.3,+,12,00,14,38.69,15.51,7.04,,,+0.30,,+0.12,,,,A3IV,,-0.008,+0.001,D,+.009,+013,SB,,218,,0.5,6.9,AB,3,*
6759,,CD-4512215,165493,228734,,,,W,,,,18,01,05.4,-,45,46,42,18,08,30.1,-,45,46,02,347.45,-12.19,6.15,,,-0.08,,-0.49,,,,B7-8II,,-0.009,-0.025,,,-035,V?,,,,3.6,4.0,,,*
6760,,CP-59 7231,165497,245273,,,,W,,,,18,01,07.7,-,59,03,13,18,09,57.6,-,59,02,24,335.07,-17.98,6.38,,,+1.55,,,,,,K4III,,-0.021,-0.001,,,-010,,,,,5.6,40.,,,
6761,Iot Pav,CP-62 5797,165499,254157,,,,,,,,18,01,08.5,-,62,01,21,18,10,26.1,-,62,00,08,332.21,-19.17,5.49,,,+0.58,,+0.09,,,,G0V,,-0.087,+0.223,,+.053,+030,SB,,,,,,,,
6762,,BD-21 4855,165516,186302,3438,,,,,,,18,01,11.4,-,21,27,15,18,07,11.4,-,21,26,38,8.93,-00.44,6.28,,,+0.12,,-0.78,,,,B0.5Ib,,+0.004,0.000,,,-009,V,,,,,,,,*
6763,,BD+21 3300,165524,85718,,,,,,,,18,01,15.7,+,21,38,18,18,05,30.2,+,21,38,49,47.92,19.44,6.15,,,+1.23,,,,,,gK3,,+0.015,+0.009,,,-035,,,,,,,,,
6764,,BD+40 3276,165567,47193,,,,,,,,18,01,28.0,+,40,04,34,18,04,43.2,+,40,05,03,66.78,25.56,6.52,,,+0.46,,+0.02,,,,F7V,,+0.030,+0.025,,,-001,,,12,,,,,,
6765,98    Her,BD+22 3273,165625,85725,,I,,,,,10208,18,01,49.1,+,22,12,34,18,06,01.9,+,22,13,08,48.53,19.55,5.06,,,+1.58,,+1.93,,+0.98,E,M3-IIIZrO 0+,,-0.010,-0.008,,+.014,-020,V,,,,,,,,
6766,,CD-2814174,165634,186328,3439,I,,D,,,,18,01,44.9,-,28,28,06,18,08,05.0,-,28,27,26,2.89,-04.02,4.57,,,+0.94,,+0.74,,+0.53,,G7:IIIb*,,+0.027,-0.030,,+.023,-005,V?,,,,0.8,0.3,,,*
6767,,BD+41 2968,165645,47195,,,,,11054,,,18,01,53.6,+,41,56,07,18,05,00.8,+,41,56,48,68.79,25.97,6.34,,,+0.26,,+0.04,,,,F0V,,-0.021,+0.106,,,-020,SB,,139,,3.6,23.4,,,
6768,,BD+32 3047,165683,66626,,,,,,,,18,02,06.3,+,32,13,18,18,05,49.6,+,32,13,50,58.59,23.08,5.71,,,+1.16,,+1.08,,,,K0III,,+0.012,-0.026,,,+001,,,,,,,,,
6769,,BD-17 5028,165687,161093,,I,,,,,,18,02,00.4,-,17,10,04,18,07,48.4,-,17,09,15,12.75,1.51,5.52,,,+1.11,,+1.08,,+0.56,,K1III,,-0.099,+0.059,,,-032,V?,,,,,,,,
6770,71    Oph,BD+08 3582,165760,123140,,I,,,,,,18,02,31.4,+,08,43,16,18,07,18.4,+,08,44,02,35.82,13.74,4.64,,,+0.96,,+0.74,,+0.50,,G8III,,+0.011,+0.032,,+.021,-003,,<,19,:,,,,,
6771,72    Oph,BD+09 3564,165777,123142,680,,,,11076,,,18,02,36.5,+,09,32,58,18,07,21.0,+,09,33,50,36.59,14.09,3.73,,,+0.12,,+0.10,,+0.05,,A4IV s,,-0.060,+0.080,,+.047,-024,SB2,,80,,7.7,54.4,AD,4,*
6772,,CD-3612265,165793,209779,,,,,,,,18,02,35.6,-,36,41,13,18,09,22.4,-,36,40,21,355.75,-08.17,6.58,,,-0.03,,-0.86,,,,B1II,,-0.011,-0.004,,,+039,V?,,,,,,,,
6773,,CD-2512793,165814,186350,,,,W,,,V3792 Sgr,18,02,43.0,-,25,29,13,18,08,54.1,-,25,28,21,5.59,-02.74,6.61,,,+0.02,,-0.47,,,,B3III,,+0.003,+0.018,,,-006,SBO,,,,2.0,13.3,,,*
6774,,CP-70 2507,165861,257575,3446,,,,,,,18,02,54.1,-,70,46,18,18,14,24.1,-,70,45,05,323.56,-22.54,6.73,,,-0.03,,-0.36,,,,B7-8II-III,,-0.002,-0.023,,,-007,,,,,,,,,
6775,99    Her,BD+30 3128,165908,66648,,,,,11077,,,18,03,13.7,+,30,32,51,18,07,01.5,+,30,33,43,56.97,22.30,5.04,,,+0.52,,-0.09,,+0.32,,F7V,,-0.094,+0.071,,+.060,+001,SB,,3,,3.4,1.7,AB,3,*
6776,,BD+13 3529,165910,103406,,,,,11086,,,18,03,11.9,+,13,03,27,18,07,48.4,+,13,04,16,39.92,15.50,6.63,,,+0.07,,+0.09,,,,A2Vn,,+0.016,+0.008,,,-017,V?,,,,3.8,42.3,,,*
6777,,CD-3213814,165978,209794,,,,,,,,18,03,26.7,-,32,43,55,18,09,59.9,-,32,43,11,359.32,-06.42,6.43,,,+1.02,,,,,,K0IV,,+0.001,-0.149,,,+010,,,,,,,,,
6778,,CD-4712098,166006,228774,,,,W,,,,18,03,31.1,-,47,31,48,18,11,04.5,-,47,30,47,346.05,-13.35,6.07,,,+1.20,,+1.45,?,,,K1IIICNII,,+0.007,-0.029,,,-015,,,,,5.4,1.7,,,
6779,103Omi Her,BD+28 2925,166014,85750,681,,,S,,,Omi Her,18,03,38.4,+,28,44,55,18,07,32.6,+,28,45,45,55.19,21.59,3.83,,,-0.03,,-0.07,,0.00,,B9.5V,e,+0.001,+0.009,,+.005,-030,SB,,134,,,,,,*
6780,,CD-3015316,166023,209803,,,,W,,,,18,03,38.8,-,30,44,40,18,10,05.7,-,30,43,43,1.10,-05.49,5.53,,,+0.97,,+0.70,,,,K1II,,+0.003,-0.027,D,+.004,-022,,,,,2.3,3.9,,,*
6781,100    Her,BD+26 3178,166045,85753,,,,,11089,A,10253,18,03,47.6,+,26,05,11,18,07,49.5,+,26,06,05,52.54,20.60,5.86,,,+0.12,,+0.08,,,,A3V,,-0.006,+0.033,D,+.012,-017,V?,,176,,0.0,14.3,AB,4,*
6782,100    Her,BD+26 3178,166046,85752,,,,,11089,B,10253,18,03,47.5,+,26,04,56,18,07,49.5,+,26,05,51,52.53,20.59,5.90,,,+0.14,,+0.08,,,,A3V,,-0.002,+0.033,D,+.012,-016,,,168,,0.0,14.3,AB,4,*
6783,Eps Tel,CD-4512251,166063,228777,1473,,,W,,,,18,03,48.4,-,45,58,18,18,11,13.8,-,45,57,16,347.50,-12.69,4.53,,,+1.01,,+0.78,,+0.48,,K0III,,-0.017,-0.037,,+.023,-026,,,,,8.4,21.2,,,
6784,,BD+14 3427,166095,103414,3442,,,,,,,18,04,00.3,+,14,16,10,18,08,33.7,+,14,17,05,41.14,15.84,6.37,,,+0.17,,+0.23,,+0.08,,A5m,,-0.005,+0.004,,,-009,V,,20,,,,,,
6785,,BD-13 4863,166103,161125,1472,I,,,,,,18,04,02.7,-,13,57,04,18,09,43.4,-,13,56,04,15.79,2.67,6.39,,,+1.42,,,,,,K0,,+0.016,-0.003,,,-020,V,,,,,,,,
6786,,CD-4112491,166114,228778,3444,,,,,,,18,04,00.2,-,41,22,35,18,11,05.6,-,41,21,33,351.68,-10.62,5.86,,,+0.29,,+0.07,,,,F2V,,+0.032,-0.035,,,-004,V,,,,,,,,
6787,102    Her,BD+20 3674,166182,85769,3443,,,,11102,,,18,04,28.8,+,20,47,55,18,08,45.5,+,20,48,52,47.42,18.42,4.36,,,-0.16,,-0.81,,-0.18,,B2IV,,-0.001,-0.005,,-.010,-015,V?,,33,,7.9,23.4,,,*
6788,,CD-3312917,166197,209817,,,,,,,10304,18,04,18.4,-,33,49,07,18,10,55.2,-,33,47,59,358.45,-07.10,6.16,,,-0.14,,-0.86,,,,B1V,,-0.011,+0.013,,,-025,SB,,212,,,,,,
6789,23Del UMi,BD+86  269,166205,2937,913,,,,,,,18,04,32.7,+,86,36,48,17,32,12.9,+,86,35,11,119.29,28.24,4.36,,,+0.02,,+0.03,,-0.01,,A1Vn,,+0.009,+0.056,,+.004,-008,V?,,174,,,,,,*
6790,,BD+50 2525,166207,30751,3441,,,,,,,18,04,29.9,+,50,48,23,18,06,53.5,+,50,49,22,78.59,27.52,6.29,,,+1.04,,+0.96,,+0.52,,K0III,,+0.002,+0.096,,,-057,,,,,,,,,*
6791,,BD+43 2892,166208,47237,,I,,,,,,18,04,27.9,+,43,26,56,18,07,28.8,+,43,27,42,70.55,25.90,5.00,,,+0.91,,+0.71,,+0.47,,G8IIICN-1CH-3,,+0.002,-0.060,,+.012,-016,SB?,<,17,,,,,,
