HR,Name,DM,HD,SAO,FK5,IFflag,r_IFflag,Multiple,ADS,ADScomp,VarID,RAh1900,RAm1900,RAs19000,DE-1900,DEd1900,DEm1900,DEs1900,RAh,RAm,RAs,DE-,DEd,DEm,DEs,GLON,GLAT,Vmag,n_Vmag,u_Vmag,B-V,u_B-V,U-B,u_U-B,R-I,n_R-I,SpType,n_SpType,pmRA,pmDE,n_Parallax,Parallax,RadVel,n_RadVel,l_RotVel,RotVel,u_RotVel,Dmag,Sep,MultID,MultCnt,NoteFlag
306,,BD+86   17,6319,193,,,,,,,,00,59,06.3,+,86,36,48,01,16,13.5,+,87,08,43,123.27,24.29,6.25,,,+1.12,,+0.99,,,,gK2,,+0.051,-0.027,,+.011,-005,,,,,,,,,
307,73    Psc,BD+04  172,6386,109656,,I,,,,,,00,59,41.7,+,05,07,13,01,04,52.6,+,05,39,23,129.09,-57.05,6.00,,,+1.51,,+1.86,,,,gK5,,+0.028,-0.014,,,-015,V,,,,,,,,
308,72    Psc,BD+14  163,6397,92230,1028,,,,889,,,00,59,48.5,+,14,24,30,01,05,05.4,+,14,56,46,127.84,-47.80,5.68,,,+0.41,,-0.06,,,,F4II-III,,+0.006,+0.054,,,+004,SB2,=<,10,,7.4,55.2,,,*
309,,BD+61  206,6416,11571,,,,,,,,01,00,04.0,+,62,13,36,01,06,22.8,+,62,45,42,124.64,-00.06,6.54,,,+0.19,,+0.06,,,,A5Vn,,+0.102,-0.024,,,+011,SB,,125,,,,,,*
310,74Psi1Psc,BD+20  156,6456,74482,,,,,899,A,397,01,00,19.1,+,20,56,16,01,05,40.9,+,21,28,24,127.34,-41.28,5.34,,,-0.03,,-0.06,,,,A1Vn,,+0.050,-0.016,D,+.016,-003,V,,246,,0.3,29.9,AB,3,*
311,74Psi1Psc,BD+20  157,6457,74483,,,,,899,B,,01,00,19.9,+,20,55,48,01,05,41.7,+,21,27,55,127.35,-41.28,5.56,,,-0.07,,-0.16,,,,A0Vn,,+0.047,-0.018,D,+.016,-004,V,,267,,0.3,29.9,AB,3,*
312,,BD+79   29,6473,4331,,,,,,,,01,00,39.5,+,79,28,41,01,09,12.3,+,80,00,42,123.74,17.17,6.29,R,,,,,,,,sgG6,,-0.030,-0.038,,,-027,V,,,,,,,,
313,77    Psc,BD+04  175,6479,109666,,,,,903,A,,01,00,38.7,+,04,22,33,01,05,49.2,+,04,54,30,129.66,-57.77,6.35,,,+0.38,,-0.05,,,,F3V,,+0.022,-0.121,,,-007,,,,,1.0,33.0,AB,5,*
314,77    Psc,BD+04  176,6480,109667,,,,,903,B,,01,00,40.9,+,04,22,37,01,05,51.4,+,04,54,34,129.68,-57.77,7.25,,,+0.49,,-0.04,,,,F6V,,+0.029,-0.119,,,-010,V,,,,1.0,33.0,AB,5,*
315,27    Cet,BD-10  229,6482,147601,,,,,,,,01,00,36.2,-,10,30,51,01,05,36.8,-,09,58,45,134.63,-72.53,6.12,,,+1.01,,+0.86,,+0.53,,K0III,,-0.034,-0.033,,,+012,V?,,,,,,,,*
316,,BD+56  196,6497,22015,2069,,,,,,,01,00,55.6,+,56,24,10,01,07,00.2,+,56,56,06,125.06,-05.87,6.43,,,+1.18,,+1.26,,+0.42,E,K2III,,+0.100,-0.110,,,-096,,,,,,,,,*
317,28    Cet,BD-10  230,6530,147606,,,,,,,,01,01,04.1,-,10,22,30,01,06,05.1,-,09,50,22,134.92,-72.37,5.58,,,+0.01,,,,,,A1V,,+0.030,+0.004,,,+011,SB2,,65,,,,,,*
318,,BD+52  262,6540,22021,,I,,,915,,,01,01,12.4,+,52,57,48,01,07,09.5,+,53,29,54,125.30,-09.30,6.38,R,,,,,,,,K2III,,+0.023,-0.001,,,+007,,,,,4.0,21.7,AB,3,*
319,75    Psc,BD+12  135,6557,92250,2068,,,,,,,01,01,17.8,+,12,25,12,01,06,33.6,+,12,57,22,128.64,-49.75,6.12,,,+0.96,,,,,,G8III,,+0.019,+0.023,,,+008,V,,,,,,,,
320,,CD-24  484,6559,166799,1029,,,,,,,01,01,17.1,-,24,31,37,01,06,07.7,-,23,59,33,170.31,-85.44,6.14,,,+1.09,,+1.00,,,,G8-K0III,,-0.031,-0.041,,,+033,V,,,,,,,,
321,30Mu  Cas,BD+54  223,6582,22024,1030,,,W,,,405,01,01,36.8,+,54,25,47,01,08,16.4,+,54,55,13,125.32,-07.85,5.17,,,+0.69,,+0.09,,+0.42,,G5Vb,,+3.424,-1.596,,+.136,-097,SBO,,1,,5.8,190.5,AB,6,*
322,Bet Phe,CD-47  324,6595,215365,,,,W,,,400,01,01,37.3,-,47,15,15,01,06,05.0,-,46,43,07,295.51,-70.20,3.31,,,+0.89,,+0.57,,+0.50,,G8III,v,-0.027,-0.001,,+.021,-001,,,,,0.2,1.0,AB,3,*
323,,CD-36  417,6619,192925,,,,,,,,01,01,45.3,-,36,11,43,01,06,26.5,-,35,39,39,283.32,-80.89,6.61,,,+0.14,,+0.16,,+0.07,,A1V,,+0.069,-0.023,,,+018,SBO,,,,,,,,*
324,41    And,BD+43  234,6658,36950,2071,,,,,,,01,02,16.2,+,43,24,34,01,08,00.9,+,43,56,31,126.08,-18.83,5.03,,,+0.11,,+0.14,,+0.04,,A3m,,+0.165,-0.070,,+.031,+009,,,91,,,,,,*
325,,CD-24  496,6668,166814,,,,,,,,01,02,21.8,-,24,31,49,01,07,13.1,-,23,59,47,172.43,-85.26,6.37,,,+0.23,,+0.09,,,,A7V,,+0.098,-0.036,,,+015,V,,,,,,,,
326,,BD+57  200,6676,22032,,,,,,,,01,02,25.6,+,57,43,47,01,08,33.3,+,58,15,49,125.19,-04.53,5.79,,,-0.01,,-0.27,,,,B8V,,+0.007,-0.005,,,-004,,,,,,,,,
327,78    Psc,BD+31  185,6680,54445,2072,,,,,,,01,02,29.1,+,31,28,43,01,08,01.3,+,32,00,44,127.02,-30.73,6.25,,,+0.40,,-0.01,,,,F5IV,,+0.204,-0.030,,,+014,V,,101,,,,,,*
328,79Psi2Psc,BD+19  185,6695,74506,,,,,,,,01,02,35.2,+,20,12,27,01,07,57.2,+,20,44,21,128.13,-41.96,5.55,,,+0.13,,+0.13,,,,A3V,,+0.087,-0.094,,,-002,V,,125,,,,,,
329,30    Cet,BD-10  238,6706,147622,,,,,,,,01,02,44.5,-,10,19,14,01,07,46.2,-,09,47,08,136.22,-72.24,5.82,,,+0.43,,+0.02,,,,F7IV,,+0.152,+0.017,,,+022,V?,,,,,,,,
330,80    Psc,BD+04  190,6763,109697,2073,,,W,,,410,01,03,13.0,+,05,07,15,01,08,22.2,+,05,38,59,130.68,-56.96,5.52,,,+0.34,,0.00,,+0.18,,F0III-IV,,-0.264,-0.185,,+.036,+007,,,,,3.8,159.3,AC,3,*
331,Ups Phe,CD-42  391,6767,215374,1031,,,W,,,,01,03,13.8,-,42,01,18,01,07,47.9,-,41,29,13,290.82,-75.25,5.21,,,+0.16,,+0.09,,+0.09,,A3IV,,+0.038,+0.010,,+.014,+014,V,,,,0.4,0.2,,,*
332,Iot Tuc,CP-62   89,6793,248324,39,,,,,,,01,03,21.0,-,62,18,34,01,07,18.7,-,61,46,31,299.64,-55.25,5.37,,,+0.88,,,,,,G5III,,+0.073,-0.012,,+.033,-008,,,,,,,,,
333,,BD+78   34,6798,4341,41,,,,,,,01,03,37.2,+,79,08,30,01,12,16.7,+,79,40,26,123.91,16.84,5.64,,,+0.01,,+0.03,,,,A3V,,+0.091,-0.005,,,+018,,,175,,,,,,
334,31Eta Cet,BD-10  240,6805,147632,40,I,,W,,,,01,03,33.5,-,10,42,44,01,08,35.4,-,10,10,56,137.15,-72.58,3.45,,,+1.16,,+1.19,,+0.58,,K1.5IIICN1Fe0.5,,+0.218,-0.138,,+.041,+012,V,<,17,,6.7,233.5,,,*
335,42Phi And,BD+46  275,6811,36972,,,,,940,,Var?,01,03,41.7,+,46,42,31,01,09,30.2,+,47,14,31,126.11,-15.52,4.25,,,-0.07,,-0.34,,-0.05,,B7Ve,,+0.010,-0.009,,+.003,-000,V,,71,,1.2,0.4,,,*
336,31    Cas,BD+68   77,6829,11612,2074,,,W,,,,01,03,53.1,+,68,14,47,01,10,39.3,+,68,46,43,124.68,5.97,5.29,,,-0.02,,-0.06,,,,A0Vnn,,+0.036,-0.031,,+.017,+001,V,,215,,,,,,*
337,43Bet And,BD+34  198,6860,54471,42,I,,,949,,414,01,04,07.8,+,35,05,26,01,09,43.9,+,35,37,14,127.10,-27.10,2.06,,,+1.58,,+1.96,,+1.00,,M0+IIIa,e,+0.178,-0.114,,+.049,+003,V,,,,10.1,80.4,AD,5,*
338,Zet Phe,CP-55  241,6882,232306,,,,W,,,Zet Phe,01,04,10.9,-,55,46,49,01,08,23.1,-,55,14,45,297.83,-61.71,3.92,,,-0.08,,-0.41,,-0.12,,B6V+B9V,,+0.019,+0.025,D,+.013,+015,SB2O,,127,,4.0,6.6,ABxC,3,*
339,81Psi3Psc,BD+18  153,6903,92283,,,,,,,Var?,01,04,28.3,+,19,07,30,01,09,49.2,+,19,39,31,128.85,-43.00,5.55,,,+0.69,,,,,,G0III,,-0.006,+0.009,,,-008,V?,,91,,,,,,
340,44    And,BD+41  219,6920,36984,2075,,,,,,,01,04,37.8,+,41,32,59,01,10,18.8,+,42,04,53,126.67,-20.65,5.65,,,+0.60,,,,,,F8V,,-0.133,-0.043,,,-011,V,=<,10,,,,,,
341,,BD+24  186,6953,74530,,I,,,,,,01,04,53.8,+,24,55,41,01,10,19.4,+,25,27,28,128.29,-37.22,5.80,,,+1.47,,+1.82,,,,K7III,,0.000,-0.114,,,+005,V?,,,,,,,,
342,,BD+63  149,6960,11615,,,,,,,424,01,04,57.5,+,63,40,15,01,11,25.6,+,64,12,10,125.10,1.42,5.55,,,-0.07,,-0.13,,,,B9.5V,,+0.040,-0.013,,,-010,V,,47,,,,,,*
343,33The Cas,BD+54  236,6961,22070,,,,W,,,423,01,05,00.5,+,54,37,05,01,11,06.2,+,55,08,59,125.76,-07.61,4.33,,,+0.17,,+0.12,,+0.07,,A7V,,+0.229,-0.022,,+.014,+009,SB,,102,,5.9,145.6,,,*
344,,BD+14  175,6966,92288,,I,,,,,,01,04,53.2,+,15,08,31,01,10,11.5,+,15,40,27,129.55,-46.96,6.06,,,+1.49,,,,,,M0III,,+0.031,-0.021,,,-003,V,,,,,,,,
345,32    Cas,BD+64  127,6972,11617,2078,,,,,,RU Cas,01,05,10.3,+,64,29,14,01,11,41.4,+,65,01,08,125.07,2.23,5.57,,,-0.09,,-0.28,,,,B9IV,,+0.023,-0.016,,,-002,V,,70,,,,,,*
346,32    Cet,BD-09  227,6976,129154,,,,,,,,01,05,11.0,-,09,26,16,01,10,12.0,-,08,54,22,137.48,-71.25,6.40,,,+1.04,,+0.87,,,,K0III,,-0.013,-0.036,,,-020,V?,,,,,,,,
347,33    Cet,BD+01  221,7014,109715,,I,,,,,422,01,05,24.7,+,01,54,49,01,10,33.6,+,02,26,44,132.54,-60.07,5.95,,,+1.51,,+1.87,,,,K4III,,0.000,-0.015,,,-003,V?,,,,,,,,*
348,45    And,BD+36  201,7019,54494,,,,W,,,,01,05,32.9,+,37,11,31,01,11,10.3,+,37,43,27,127.24,-24.98,5.81,,,-0.10,,-0.40,,,,B7III-IV,,-0.012,-0.007,,+.003,-001,,,70,,0.0,0.4,,,*
349,82    Psc,BD+30  181,7034,54493,,,,,,,,01,05,35.7,+,30,53,34,01,11,06.8,+,31,25,29,127.84,-31.26,5.16,,,+0.23,,,,,,F0V,,-0.011,-0.014,,,+002,V,,84,,,,,,
350,,CP-58   81,7082,232324,2077,,,,,,,01,06,02.5,-,58,13,25,01,10,07.4,-,57,41,40,298.05,-59.26,6.41,,,+0.89,,,,,,G6II-III,,-0.006,-0.121,,,+088,,,,,,,,,
351,84Chi Psc,BD+20  172,7087,74544,1032,I,,,,,,01,06,04.6,+,20,30,11,01,11,27.2,+,21,02,05,129.18,-41.59,4.66,,,+1.03,,+0.82,,+0.54,,G8.5III-IIIa,,+0.038,-0.011,,+.015,+016,,<,19,:,,,,,
352,83Tau Psc,BD+29  190,7106,74546,43,I,,,,,,01,06,09.0,+,29,33,32,01,11,39.6,+,30,05,23,128.12,-32.58,4.51,,,+1.09,,+1.01,,+0.58,,K0.5IIIb,,+0.072,-0.035,,+.023,+030,SB,<,17,,,,,,
353,34    Cet,BD-03  161,7147,129169,,I,,,,,,01,06,38.3,-,02,46,56,01,11,43.5,-,02,15,04,134.84,-64.65,5.94,,,+1.40,,+1.68,,,,K4III,,-0.062,-0.026,,,-009,,,,,,,,,*
354,,BD+60  186,7157,11637,,,,,987,,,01,06,48.3,+,61,10,31,01,13,09.9,+,61,42,21,125.50,-01.06,6.41,,,+0.01,,-0.27,,,,B9V,,+0.033,-0.021,,,-002,V?,,160,,2.8,1.2,AB,3,
355,,BD+44  261,7158,37023,,I,,,,,,01,06,46.3,+,44,48,21,01,12,34.0,+,45,20,16,126.82,-17.37,6.11,,,+1.64,,+2.03,,,,M1III,,+0.021,+0.026,,,+022,V,,,,,,,,
356,,BD+29  195,7229,74561,,,,,990,,,01,07,28.8,+,29,32,03,01,12,59.5,+,30,03,51,128.47,-32.58,6.19,,,+1.00,,+0.75,,,,G9III+G1V,,+0.020,-0.034,,,+036,SB,,,,4.1,10.8,AB,4,*
357,,BD+79   36,7238,4354,,,,,,,,01,07,39.1,+,79,22,44,01,16,30.7,+,79,54,36,124.08,17.09,6.26,,,+0.42,,-0.07,,,,F5V s,,-0.055,+0.059,,,-043,V?,,45,,,,,,
358,,CD-31  484,7259,192977,,,,,,,,01,07,39.8,-,31,19,53,01,12,23.4,-,30,48,08,252.89,-84.13,6.52,,,+0.48,,+0.03,,,,F7IV,,+0.061,-0.077,,,+014,,,,,,,,,
359,,CD-38  420,7312,192980,44,,,,,,AI Scl,01,08,09.0,-,38,23,11,01,12,45.4,-,37,51,23,281.60,-78.37,5.92,,,+0.28,,+0.12,,,,F0III,,+0.090,-0.034,,,+010,SB,,,,,,,,*
360,85Phi Psc,BD+23  158,7318,74571,2082,I,,,995,,,01,08,19.0,+,24,03,15,01,13,44.9,+,24,35,01,129.37,-38.01,4.65,,,+1.04,,+0.85,,+0.53,,K0III,,+0.017,-0.023,,+.007,+006,SB,<,17,,5.2,7.9,AB,3,*
361,86Zet Psc,BD+06  174,7344,109739,1033,,,,996,A,,01,08,30.3,+,07,02,48,01,13,43.9,+,07,34,31,132.56,-54.88,5.24,,,+0.32,,+0.09,,,,A7IV,,+0.144,-0.056,,+.026,+009,SB,,262,,0.1,0.1,O,5,*
362,86Zet Psc,BD+06  175,7345,109740,,,,,996,B,442,01,08,31.7,+,07,02,58,01,13,45.3,+,07,34,42,132.57,-54.87,6.30,,,+0.49,,+0.01,,,,F7V,,+0.147,-0.052,,+.026,+011,SBO,=<,25,,0.1,0.1,O,5,*
363,,BD+27  196,7351,74576,,I,,,,,444,01,08,35.0,+,28,00,04,01,14,05.0,+,28,31,47,128.94,-34.08,6.43,,,+1.70,,+1.87,,+0.98,E,S3+/2-,,+0.079,-0.049,,,+002,SB,,,,,,,,*
364,87    Psc,BD+15  177,7374,92326,2083,,,,,,445,01,08,48.8,+,15,36,15,01,14,07.6,+,16,08,01,130.84,-46.39,5.98,,,-0.08,,-0.41,,,,B8III,,-0.027,-0.026,,,-016,V,,28,,,,,,*
365,,BD+70   90,7389,4358,,,,,,,,01,09,00.3,+,71,12,53,01,16,12.1,+,71,44,38,124.89,8.97,7.83,,,+0.78,,+0.35,,,,K1V,,+0.006,+0.004,,,-017,,,,,,,,,*
366,37    Cet,BD-08  216,7439,129193,,,,,1003,A,446,01,09,21.7,-,08,27,37,01,14,24.0,-,07,55,23,139.80,-70.04,5.13,,,+0.46,,-0.05,,,,F5V,,+0.127,+0.273,,+.056,+022,V,,12,,2.7,49.8,,,*
367,88    Psc,BD+06  181,7446,109753,,,,,,,,01,09,30.2,+,06,27,59,01,14,42.4,+,06,59,43,133.14,-55.41,6.03,,,+1.08,,+1.02,,,,gG6,,-0.011,-0.024,,,-009,V,,,,,,,,
368,38    Cet,BD-01  162,7476,129196,2084,,,W,,,,01,09,42.8,-,01,30,32,01,14,49.2,-,00,58,26,136.01,-63.25,5.70,,,+0.42,,-0.02,,,,F5V,,-0.012,+0.201,,+.028,+026,V,=<,10,,6.3,114.1,AB,3,*
369,,BD+47  357,7546,37067,2085,,,,,,,01,10,30.5,+,47,33,14,01,16,24.5,+,48,04,56,127.24,-14.58,6.61,,,-0.05,,-0.34,,,,B9IIIpSi,,+0.010,+0.001,,,-014,V?,,,,,,,,
370,Nu  Phe,CD-46  346,7570,215428,,,,,,,,01,10,40.4,-,46,03,56,01,15,11.1,-,45,31,53,290.10,-71.00,4.96,,,+0.58,,+0.11,,+0.36,,F8V,,+0.669,+0.183,,+.069,+012,,,,,,,,,*
371,,BD+32  223,7578,54567,,I,:,,,,,01,10,44.1,+,32,35,14,01,16,18.8,+,33,06,53,128.91,-29.47,6.02,,,+1.15,,,,,,K1III,,+0.016,-0.033,,,+006,,,,,,,,,*
372,,BD+44  271,7647,37077,,I,,,,,,01,11,15.6,+,44,22,31,01,17,05.1,+,44,54,07,127.70,-17.73,6.34,R,,,,,,,,K5,,+0.014,-0.045,,,-052,,,,,,,,,
373,39    Cet,BD-03  172,7672,129204,,,,W,,,AY Cet,01,11,31.6,-,03,01,36,01,16,36.3,-,02,30,01,137.75,-64.64,5.41,,,+0.90,,+0.44,,,,G5IIIe+dA,,-0.104,-0.063,,+.015,-020,V,,,,5.7,177.6,,,*
374,,BD+30  196,7724,54580,,,,,,,,01,11,50.9,+,31,13,01,01,17,24.1,+,31,44,41,129.36,-30.80,6.73,R,,,,,,,,K0,,-0.052,+0.003,,,-034,,,,,,,,,
375,,BD+76   40,7732,4376,,,,,,,,01,11,59.1,+,77,02,31,01,20,19.5,+,77,34,14,124.54,14.79,6.31,,,+0.92,,,,,,G5III,,-0.018,+0.086,,,-074,,,,,,,,,
376,,BD+46  319,7758,37096,,,,,,,,01,12,16.2,+,46,53,34,01,18,10.2,+,47,25,11,127.61,-15.21,6.25,,,+1.35,,,,,,K0,,+0.018,-0.002,,,-001,,,,,,,,,
377,Kap Tuc,CP-69   45,7788,248346,,,,W,,A,454,01,12,22.7,-,69,24,26,01,15,46.1,-,68,52,34,299.66,-48.10,4.86,,,+0.47,,+0.03,,+0.22,,F6IV,,+0.399,+0.107,,+.061,+009,,,111,,2.2,5.2,AB,4,*
378,89    Psc,BD+02  185,7804,109793,1034,,,,,,,01,12,38.4,+,03,05,17,01,17,48.0,+,03,36,52,135.63,-58.61,5.16,,,+0.07,,+0.08,,+0.03,,A3V,,-0.046,-0.025,,+.013,+005,SB,,121,,,,,,*
379,,BD+36  220,7853,54592,,,,,1055,,,01,13,06.8,+,36,51,36,01,18,47.0,+,37,23,10,128.93,-25.17,6.46,,,+0.23,,+0.14,,+0.11,,A5m,,-0.011,-0.014,D,+.008,+005,SB,,35,,3.1,6.2,,,
380,,CP-67   81,7916,248350,,,,W,,,,01,13,35.5,-,66,55,31,01,17,03.6,-,66,23,53,298.90,-50.53,6.24,,,+0.05,,-0.02,,,,A0V,,+0.044,+0.002,D,+.010,+013,,,,,2.4,2.4,,,
381,,BD+75   59,7925,4387,2087,,,,,,,01,13,51.5,+,75,42,53,01,21,59.1,+,76,14,20,124.79,13.48,6.38,,,+0.28,,+0.07,,,,F0IVn,,+0.063,-0.032,,,-016,,,,,,,,,
382,34Phi Cas,BD+57  260,7927,22191,,I,,,1073,,,01,13,47.2,+,57,42,21,01,20,04.9,+,58,13,54,126.71,-04.43,4.98,,,+0.68,,+0.49,,+0.56,,F0Ia,,0.000,-0.002,,-.003,-024,SB,,27,,1.9,133.8,AC,5,*
383,90Ups Psc,BD+26  220,7964,74637,45,,,,,,,01,13,58.0,+,26,44,19,01,19,28.0,+,27,15,51,130.56,-35.19,4.76,,,+0.03,,+0.10,,+0.05,,A3V,,+0.025,-0.013,,+.019,+008,SB,,93,,,,,,
384,35    Cas,BD+63  176,8003,11712,,,,,1088,,474,01,14,24.1,+,64,08,02,01,21,05.2,+,64,39,30,126.10,1.97,6.34,,,+0.09,,,,,,A2Vnn,,+0.057,-0.019,,,-015,V,,240,,2.1,55.5,,,
385,42    Cet,BD-01  171,8036,129235,,,,,1081,,,01,14,41.5,-,01,02,02,01,19,48.3,-,00,30,32,138.45,-62.52,5.87,,,+0.64,,+0.32,,,,G8III+A7V,,+0.012,-0.014,D,+.009,+014,SB,,,,0.7,1.6,AxBC,3,*
386,,BD+77   49,8065,4391,,,,,,,,01,14,57.4,+,78,12,08,01,23,46.8,+,78,43,33,124.57,15.96,6.07,,,+0.39,,-0.08,,,,A0Iab,,-0.009,-0.003,,,-075,,,,,,,,,
387,,BD-04  185,8120,129239,,,,,,,,01,15,29.9,-,03,46,19,01,20,34.5,-,03,14,49,140.45,-65.12,6.23,,,+1.02,,+0.84,,,,K1III,,-0.013,+0.006,,,-003,,,,,,,,,
388,,BD-11  248,8121,147746,2088,,,,,,,01,15,29.8,-,11,45,43,01,20,27.8,-,11,14,20,147.57,-72.71,6.15,,,+1.11,,+1.03,,,,K1III,,-0.047,-0.074,,,-011,V?,,,,,,,,
389,91    Psc,BD+27  215,8126,74647,2089,I,,,,,,01,15,35.4,+,28,12,57,01,21,07.4,+,28,44,17,130.75,-33.68,5.23,,,+1.39,,,,,,gK5,,+0.027,-0.078,,,-036,V?,,,,,,,,
390,46Xi  And,BD+44  287,8207,37155,1035,I,,,,,,01,16,26.9,+,45,00,17,01,22,20.4,+,45,31,44,128.58,-17.00,4.88,,,+1.08,,+0.99,,+0.53,,K0-IIIb,,+0.032,+0.009,,+.026,-013,SB,<,17,,,,,,*
391,,BD+57  274,8272,22230,,,,,1105,,,01,16,59.5,+,57,37,21,01,23,21.6,+,58,08,35,127.14,-04.47,6.45,,,,,,,,,F4V,,+0.139,-0.094,D,+.005,+007,,,,,0.2,0.5,AB,4,*
392,,BD+00  223,8334,109834,2091,I,,,,,,01,17,28.0,+,01,12,16,01,22,37.0,+,01,43,35,138.75,-60.18,6.20,,,+1.52,,+1.86,,+0.63,E,K5IIIab,,+0.066,-0.048,,,-016,V,,,,,,,,
393,43    Cet,BD-01  179,8335,129262,,,,,,,487,01,17,27.8,-,00,58,21,01,22,34.8,-,00,26,59,139.87,-62.29,6.49,,,+1.08,,+1.01,,,,gK0,,+0.023,-0.014,,,+014,,,,,,,,,
394,,BD-19  229,8350,147767,,,,,1106,,,01,17,39.5,-,19,36,09,01,22,30.5,-,19,04,53,166.13,-79.24,6.35,,,+0.48,,,,,,F6IV,,-0.056,-0.071,D,+.008,-005,V?,,19,,2.2,5.0,,,*
395,47    And,BD+36  237,8374,54655,2093,,,,,,,01,17,57.2,+,37,11,35,01,23,40.6,+,37,42,54,129.94,-24.72,5.58,,,+0.26,,+0.13,,+0.12,,A2Vm,,+0.083,-0.022,,,+013,SB2O,,15,,,,,,*
396,,BD+33  220,8375,54654,,,,,,,,01,17,57.1,+,33,43,12,01,23,37.5,+,34,14,45,130.47,-28.16,6.29,,,+0.83,,+0.48,,,,G8IV,,+0.229,+0.116,,,+003,V,,,,,,,,
397,,BD+19  226,8388,74682,,I,,,,,,01,18,00.6,+,19,56,48,01,23,24.9,+,20,28,08,132.99,-41.78,5.97,,,+1.71,,,,,,K5,,-0.009,-0.007,,,-011,,,,,,,,,
398,,BD+70  102,8424,4401,,,,,,,,01,18,24.9,+,70,27,32,01,25,46.5,+,70,58,48,125.75,8.30,6.49,R,,,,,,,,A0Vnn,,+0.016,-0.013,,,+011,,,195,,,,,,
399,36Psi Cas,BD+67  123,8491,11751,46,I,,,1129,,,01,18,51.7,+,67,36,29,01,25,56.0,+,68,07,48,126.15,5.47,4.74,,,+1.05,,+0.94,,+0.52,,K0III,,+0.074,+0.026,,+.013,-012,V,<,17,,5.2,23.2,AC,4,*
400,,CD-31  562,8498,193090,1036,I,,,,,,01,18,51.7,-,31,28,00,01,23,31.0,-,30,56,44,243.40,-82.02,5.84,,,+1.61,,+2.05,,+0.80,E,K5III,,-0.012,-0.046,,,-016,,,,,,,,,*
401,44    Cet,BD-08  243,8511,129275,,,,W,,,AV Cet,01,19,00.7,-,08,31,39,01,24,02.5,-,08,00,27,146.42,-69.38,6.21,,,+0.23,,+0.09,,,,F0V,,+0.174,-0.070,,,+006,,,157,,4.7,84.6,,,*
402,45The Cet,BD-08  244,8512,129274,47,I,,,1118,,,01,19,01.5,-,08,41,58,01,24,01.4,-,08,11,00,146.59,-69.54,3.60,,,+1.06,,+0.93,,+0.56,,K0III-IIIb,,-0.079,-0.218,,+.041,+017,V?,<,17,,11.0,65.4,,,*
403,37Del Cas,BD+59  248,8538,22268,48,I,,W,,,Del Cas,01,19,16.1,+,59,42,56,01,25,49.0,+,60,14,07,127.19,-02.35,2.68,,,+0.13,,+0.12,,+0.09,,A5III-IV,v,+0.297,-0.051,,+.037,+007,SB,,113,,8.7,131.7,,,*
404,,BD-07  223,8556,129277,,,,,1123,,,01,19,18.8,-,07,26,11,01,24,20.6,-,06,54,53,145.55,-68.33,5.91,,,+0.41,,-0.05,,,,F3V,,+0.042,+0.003,D,+.023,+032,SBO,,,,0.2,0.2,,,*
405,,BD-16  237,8589,147793,,,,,,,,01,19,45.7,-,16,10,53,01,24,39.8,-,15,39,37,158.54,-76.18,6.14,,,+0.91,,+0.54,,,,G5,,+0.012,-0.005,,,+013,V,,,,,,,,*
406,,BD-03  195,8599,129280,1037,,,,,,,01,19,43.8,-,03,22,09,01,24,48.7,-,02,50,55,142.56,-64.44,6.15,,,+0.96,,+0.71,,,,G8III,,+0.013,-0.030,,,-027,,,,,,,,,
407,,BD+22  226,8634,74707,2096,,,,,,,01,20,07.7,+,22,59,28,01,25,35.7,+,23,30,42,132.98,-38.69,6.18,,,+0.43,,0.00,,,,F5III,,+0.032,-0.021,,,-016,SBO,,34,,,,,,*
408,,CD-42  493,8651,215492,2095,,,,,,,01,20,15.2,-,42,00,46,01,24,40.8,-,41,29,33,279.66,-74.10,5.42,,,+1.04,,+0.86,,+0.49,,K0III,,+0.022,-0.038,,-.012,+074,,,,,,,,,
409,,BD+42  302,8671,37204,,,,,,,,01,20,25.6,+,42,56,20,01,26,18.6,+,43,27,28,129.61,-18.96,5.96,,,+0.49,,+0.01,,,,F7V,,+0.103,-0.060,,,+031,,=<,6,,,,,,
410,,BD+33  228,8673,54695,,,,,,,,01,20,27.1,+,34,03,42,01,26,08.7,+,34,34,47,131.00,-27.75,6.31,,,+0.47,,+0.01,,,,F7V,,+0.230,-0.087,,,+017,,,32,,,,,,*
411,,CD-45  463,8681,215494,,,,,,,,01,20,21.3,-,45,02,57,01,24,41.9,-,44,31,42,284.11,-71.36,6.26,,,+1.14,,+1.08,,+0.52,,K1II,,-0.009,-0.018,,,-010,V,,,,,,,,
412,46    Cet,BD-15  266,8705,147803,,I,,,,,,01,20,42.1,-,15,07,08,01,25,37.2,-,14,35,56,157.07,-75.16,4.90,,,+1.23,,+1.26,,,,K2.5IIIb,,+0.039,-0.018,,+.007,-023,V,<,17,,,,,,
413,93Rho Psc,BD+18  187,8723,92436,,,,,,,506,01,20,51.7,+,18,39,07,01,26,15.3,+,19,10,20,134.19,-42.94,5.38,,,+0.39,,-0.10,,,,F2V:,v,-0.024,+0.010,,+.038,-009,V,,61,,,,,,
414,94    Psc,BD+18  189,8763,92444,1039,,,,,,,01,21,17.4,+,18,43,20,01,26,41.7,+,19,14,25,134.31,-42.85,5.50,,,+1.11,,+1.05,,,,K1III,,+0.050,-0.061,,+.013,-042,V,,,,,,,,*
