HR,Name,GLON,GLON_shifted,GLAT,Vmag
246,,123.24,56.76,-24.32,6.69
247,,128.1,51.9,-86.87,5.46
248,20    Cet,123.83,56.17,-64.01,4.77
249,,123.38,56.62,-25.45,6.06
250,,123.29,56.71,-10.18,6.27
251,,132.59,47.41,-87.62,6.46
252,Lam1Tuc,302.81,-122.81,-47.62,6.22
253,26Ups1Cas,123.39,56.61,-3.9,4.83
254,66    Psc,123.96,56.04,-43.68,5.74
255,21    Cet,125.17,54.83,-71.6,6.16
256,,123.55,56.45,-14.19,6.27
257,,302.51,-122.51,-54.25,5.7
258,36    And,123.97,56.03,-39.24,5.47
259,,124.03,55.97,-38.31,6.2
260,,123.57,56.43,-4.87,6.21
261,,123.43,56.57,5.91,6.37
262,67    Psc,124.17,55.83,-35.65,6.09
263,,126.06,53.94,-70.19,5.85
264,27Gam Cas,123.58,56.42,-2.15,2.47
265,28Ups2Cas,123.6,56.4,-3.68,4.63
266,,123.59,56.41,-2.5,5.55
267,22Phi3Cet,127.04,52.96,-74.1,5.31
268,,246.23,-66.23,-88.81,6.1
269,37Mu  And,124.07,55.93,-24.36,3.87
270,Lam2Tuc,302.47,-122.47,-47.6,5.45
271,38Eta And,124.65,55.35,-39.43,4.42
272,,124.07,55.93,-17.02,6.12
273,,123.64,56.36,3.49,5.97
274,68    Psc,124.62,55.38,-33.86,5.42
275,,124.54,55.46,-28.9,5.98
276,,125.34,54.66,-49.15,6.32
277,,125.07,54.93,-41.44,6.37
278,,123.68,56.32,8.12,6.39
279,23Phi4Cet,129.49,50.51,-74.16,5.61
280,Alp Scl,268.05,-88.05,-87.27,4.31
281,,301.4,-121.4,-56.41,6.23
282,,124.54,55.46,-18.13,6.84
283,,124.54,55.46,-18.13,6.04
284,,126.69,53.31,-56.33,6.11
285,,123.24,56.76,23.4,4.25
286,,123.13,56.87,26.16,6.46
287,,124.68,55.32,-11.8,6.47
288,Xi  Scl,293.64,-113.64,-78.03,5.59
289,,124.97,55.03,-15.45,6.45
290,39    And,125.24,54.76,-21.47,5.98
291,69Sig Psc,125.75,54.25,-31,5.5
292,,124.4,55.6,-1.76,5.92
293,Sig Scl,275.15,-95.15,-84.97,5.5
294,71Eps Psc,127.89,52.11,-54.87,4.28
295,Ome Phe,300.04,-120.04,-60.07,6.11
296,25    Cet,130.52,49.48,-67.54,5.43
297,,124.47,55.53,-1.25,5.84
298,,124.88,55.12,-10.32,5.99
299,,297.02,-117.02,-70.6,5.36
300,,256.19,-76.19,-86.46,6.29
301,26    Cet,129.39,50.61,-61.35,6.04
302,,125.08,54.92,-11.81,6.54
303,,126.31,53.69,-33.13,6.19
304,,301.05,-121.05,-51.63,6.21
305,,125.67,54.33,-22.81,6.72
306,,123.27,56.73,24.29,6.25
307,73    Psc,129.09,50.91,-57.05,6
308,72    Psc,127.84,52.16,-47.8,5.68
309,,124.64,55.36,-0.06,6.54
