HR,Color,GLON,GLAT
5262,ffffffff,348.38,65.4
6523,ffffffff,348.27,-4.34
8787,ffffffff,348.24,-63.3
5969,ffffffff,348.17,19.7
5942,ffffffff,348.12,21.2
6028,ffffffff,348.12,16.84
6597,ffffffff,348.08,-6.99
7992,ffffffff,348.07,-39.89
8440,ffffffff,348.06,-52.39
7095,ffffffff,347.99,-20.18
6382,ffffffff,347.95,0.28
5907,ffffffff,347.93,22.55
8303,ffffffff,347.83,-48.1
5703,ffffffff,347.81,33.98
6675,ffffffff,347.76,-9.69
6029,ffffffff,347.75,16.5
6922,ffffffff,347.68,-16.14
6986,ffffffff,347.62,-17.86
7005,ffffffff,347.58,-18.28
5906,ffffffff,347.51,22.15
6327,ffffffff,347.5,2
6783,ffffffff,347.5,-12.69
6759,ffffffff,347.45,-12.19
6392,ffffffff,347.43,-0.62
6381,ffffffff,347.4,-0.12
5274,ffffffff,347.39,64
6298,ffffffff,347.32,3.1
6558,ffffffff,347.32,-6.04
8027,ffffffff,347.25,-40.75
5944,ffffffff,347.22,20.23
5810,ffffffff,347.21,27.17
5384,ffffffff,347.17,56.02
35,ffffffff,347.16,-78.34
6553,ffffffff,347.14,-5.98
5912,ffffffff,347.12,21.51
5762,ffffffff,347.09,29.06
6077,ffffffff,347.03,13.63
7968,ffffffff,346.98,-39.34
5904,ffffffff,346.88,21.61
6017,ffffffff,346.81,15.99
7271,ffffffff,346.77,-23.85
7920,ffffffff,346.69,-38.16
6894,ffffffff,346.61,-16.02
5487,ffffffff,346.55,47.54
5756,ffffffff,346.54,28.82
7108,ffffffff,346.53,-20.88
5917,ffffffff,346.52,20.64
5331,ffffffff,346.51,58.96
6244,ffffffff,346.42,4.39
8657,ffffffff,346.39,-58.57
8636,ffffffff,346.27,-57.95
6166,ffffffff,346.22,8.09
6640,ffffffff,346.21,-9.52
6252,ffffffff,346.2,3.86
7714,ffffffff,346.13,-33.6
6247,ffffffff,346.12,3.91
5582,ffffffff,346.11,40.8
5885,ffffffff,346.1,21.71
6778,ffffffff,346.05,-13.35
6097,ffffffff,345.99,11.37
6143,ffffffff,345.94,9.22
5578,ffffffff,345.93,40.9
7037,ffffffff,345.91,-19.8
5749,ffffffff,345.9,28.57
5819,ffffffff,345.84,25.41
