x,y,z
-6.185460443,11.55519823,-7.295030706
-7.433789507,12.84979145,-2.149798396
-7.367760111,12.80775418,-2.584094367
3.744887381,-4.195791823,-13.90579554
5.27645727,-7.058321294,-12.13833181
5.277725652,-7.060018009,-12.13679355
-6.928575626,12.35162735,-4.942887984
-7.744866525,12.6682323,2.129068573
-7.689613152,12.87899477,0.036651878
-5.021635476,9.881081195,-10.10680026
-3.520150604,7.706436647,-12.37818137
-5.727400509,10.85379655,-8.625078781
-5.802185706,10.93072689,-8.476665064
-7.491974921,12.83125849,-2.05648177
5.253149958,-7.08886919,-12.1306368
-7.763300671,12.79352356,1.028065014
1.202983847,0.00020996,-14.95168318
6.000733836,-8.566753402,-10.75183378
4.053880874,-5.011488953,-13.54440949
-4.405675825,8.733114816,-11.37201504
-2.359121482,5.587543115,-13.7191074
-2.77330538,6.194000296,-13.37696294
-7.564559535,12.75537927,-2.253383837
-4.440211894,8.673201746,-11.40438906
-7.736204779,12.83458043,-0.651675298
3.490476989,-4.120200639,-13.99430302
4.296349001,-5.532835422,-13.26382741
-5.884914758,10.70019606,-8.710544336
-0.893047436,3.166507355,-14.63474282
0.173345214,1.432447665,-14.93044022
-7.158989036,12.31025681,-4.712372358
-7.583515798,12.73156839,-2.323242232
-6.45114612,11.41630529,-7.283590278
-4.711538173,8.974157791,-11.05739119
-5.625732876,10.25860243,-9.386810207
-6.599330883,11.56985869,-6.898347761
-7.597327845,11.91164798,5.039171758
0.377578527,0.967440885,-14.96400657
5.365870262,-7.533792407,-11.8088699
-3.33956018,6.828953617,-12.93107615
4.192258401,-5.48126342,-13.31843537
-6.174809711,10.88289471,-8.272504321
-7.486851849,12.51953325,-3.494043003
-6.339490933,11.03808288,-7.935463499
-5.474817635,9.804067213,-9.945181645
-5.520882406,9.814001525,-9.909855273
-7.772390191,12.72323019,-1.646014666
6.072138429,-8.928174972,-10.41234011
1.498432805,-1.165238571,-14.87941256
2.929125889,-3.534420466,-14.2803394
-0.920539829,2.685617404,-14.72888542
0.07949862,1.079984549,-14.96085938
-2.565405853,5.248232452,-13.81574279
-7.042283014,11.83231324,-5.950009515
4.672907131,-6.536684105,-12.66632148
-7.931254618,12.70252507,0.860846738
-5.910766628,10.20071041,-9.274068421
-7.63706249,12.50660789,-3.203129054
3.036579017,-3.843596524,-14.17765685
-7.877448979,12.71989086,-1.072461665
4.29570599,-5.989129624,-13.06434983
-7.544912301,12.30253638,-4.089241618
1.979738401,-2.234541818,-14.69991356
4.69787907,-6.729244709,-12.55576353
5.264463765,-7.679926134,-11.76027873
-0.882813733,2.263132955,-14.80198869
-7.618158297,12.32522418,-3.87975683
-1.716367013,3.544159129,-14.47387372
4.358519213,-6.206149372,-12.94167764
-7.890638939,12.36200267,3.149397913
-7.645834142,12.34108483,-3.773439486
-1.925936827,3.830964705,-14.37409047
1.91131927,-2.266551145,-14.70406762
-7.889226675,12.60091932,-1.994225354
-0.385254192,1.341773163,-14.93489953
2.447793263,-3.206217222,-14.4474385
4.896650256,-7.175530307,-12.2284333
-8.00832153,12.5705468,1.687643133
-2.787618922,5.028997658,-13.85418216
3.86042466,-5.49894675,-13.41114112
-1.687215526,3.304215409,-14.5339418
-7.921468591,12.58394889,-1.973465386
-7.549187057,12.10471754,-4.635254916
-1.211150288,2.533537147,-14.7347991
-8.008701466,12.65383909,-0.860846738
-7.924954026,12.34912497,3.113553604
3.058195494,-4.25906584,-14.05374678
-0.387534815,1.182867177,-14.94826552
-5.260080361,8.688847097,-11.03791152
-7.981013851,12.44125723,2.553142487
-4.90553668,8.093626487,-11.63739319
-5.717150485,9.304007594,-10.28346406
-6.167823521,9.970980469,-9.356147792
-4.322912338,7.157697469,-12.45310386
-5.882912305,9.480775162,-10.0252803
-1.090745609,2.109665873,-14.81079282
-8.050191262,12.58773325,-1.3203758
-0.593009129,1.298236298,-14.93194303
-4.438740686,7.229198135,-12.37078314
-4.201798131,6.859398358,-12.66070877
-7.888447838,12.37761501,-3.093062781
-4.493170883,7.266550596,-12.32917912
-5.543564728,8.840626647,-10.7755376
-7.504139267,11.73389554,-5.568086678
-1.805548246,3.024033323,-14.58064532
-0.314383507,0.727891198,-14.97902992
2.826229161,-4.157109035,-14.13261735
-6.590821288,10.34153362,-8.637925515
-6.590821288,10.34153362,-8.637925515
-0.440699105,0.888171784,-14.9671953
-8.134263082,12.59774836,0.361248225
-7.716841151,12.01099105,-4.60287483
-2.24426172,3.618213408,-14.38303935
6.081314242,-9.300306087,-10.07580884
-8.148393636,12.59067989,-0.280109063
-7.97721787,12.35452829,-2.954594008
2.339029912,-3.491364196,-14.39928176
-7.641266045,11.75304076,5.336392609
-8.000446915,12.3431762,-2.939192164
3.325024205,-5.075367585,-13.71804862
-4.133104816,6.396148205,-12.92310848
-8.194284047,12.55563116,-0.458077698
2.309879506,-3.603538377,-14.3763336
