HR,GLON,GLAT,Vmag
442,128.35,-3.19,4.71
443,-77.89,-69.89,6.17
444,153.38,-69.39,6.59
445,-96.52,-76.89,5.51
446,132.32,-24.85,5.88
447,-73.6,-66.06,6.28
448,151.37,-67.53,5.76
449,126.09,11.71,6.58
450,137.11,-43.21,5.89
451,166.32,-74.78,5.63
452,131.88,-21.02,6.38
453,-117.7,-79.43,6.12
454,130.54,-13.48,5.92
455,138.71,-46.85,6.22
456,126.4,10.49,5.28
457,137.79,-44.15,5.8
458,132,-20.66,4.09
459,166.61,-74.36,5.42
460,-67.99,-58.05,6.01
461,129.11,-4.33,5.56
462,-128.63,-79.8,5.69
463,140.16,-49.2,5.57
464,130.81,-13.53,3.57
465,131.53,-16.68,6.36
466,156.7,-69.19,6.24
467,-59.74,-38.41,6.11
468,-68.26,-57.86,6.18
469,131.89,-17.65,4.98
470,130.16,-8.32,6.39
471,-100.82,-76.31,5.94
472,-69.16,-58.79,0.46
473,-172.96,-77.72,5.58
474,-155.61,-79.16,6.7
475,139.37,-44.92,5.97
476,132.35,-18.67,5.61
477,132.92,-21.34,4.94
478,127.68,5.64,5.59
479,-72.3,-62.27,6.84
480,127.21,8.18,5.18
481,129.02,-1.23,6.71
482,129.52,-3.59,6.37
483,132.7,-19.3,4.95
484,136.8,-35.78,6.17
485,135.69,-31.58,5.99
486,-70.4,-59.66,5.87
487,-70.4,-59.66,5.76
488,129.06,-0.84,6.34
489,145.12,-55.22,4.44
490,134.46,-26.49,5.64
491,129.27,-1.68,5.78
492,162.14,-70.26,5.75
493,138.88,-41.01,5.24
494,-97.56,-74.8,6.17
495,132.4,-16.59,6.34
496,131.32,-11.33,4.07
497,-118.73,-77.84,5.25
498,-101.73,-75.56,5.72
499,130,-4.61,6.21
500,152.75,-63.55,4.99
501,-76.49,-65.15,6.64
502,130.16,-5.03,6.25
503,135.65,-29.38,6.34
504,132.43,-15.75,6.35
505,-67.83,-55.27,5.71
506,-73.1,-61.77,5.52
507,154.47,-64.37,6.19
508,139.67,-41.04,6.27
509,173.19,-73.43,3.5
510,144.61,-51.43,4.26
511,129.08,1.66,5.63
512,-58.77,-34,5.87
513,156.61,-64.97,5.34
514,-153.72,-77.66,5.31
515,141.2,-43.49,6.55
516,-60.01,-37.69,6.33
517,-142.9,-77.87,6.39
518,133,-15.54,6.32
519,-77.08,-64.14,5.49
520,-74.32,-61.74,5.04
521,135.2,-23.55,5.94
522,141.89,-43.82,5.84
523,136.65,-28.66,5.79
524,-91.48,-71.43,6.18
525,-58.3,-32.25,5.69
526,132.86,-13.86,5.82
527,149.17,-56.25,5.91
528,-103.41,-74.45,6.32
529,132.18,-9.87,5.9
530,140.39,-38.6,5.86
531,165.48,-68.61,4.67
532,-126.3,-76.77,6.34
533,131.57,-6.7,5.52
534,145.58,-49.2,5.94
535,-100.7,-73.37,6.37
536,132.64,-10.93,5.79
537,-82.23,-66.33,6.14
538,132.58,-10.24,6.26
539,165.88,-68.05,3.73
540,131.72,-6.21,6.45
541,-79.3,-64.28,5.94
542,129.84,1.65,3.38
543,135.4,-20.64,5.4
544,138.64,-31.4,3.41
545,142.55,-41.2,4.83
546,142.55,-41.2,4.75
547,-179.58,-72.52,5.8
548,128.77,6.55,4.99
549,151.64,-56.18,4.62
550,-60.04,-36.63,6.06
551,135.72,-20.59,6.24
552,136.75,-24.03,6.26
553,142.24,-39.68,2.64
554,-101.65,-72.71,6.1
555,-85.65,-67.22,4.41
556,136.91,-23.84,5.89
557,136.96,-23.85,5.67
558,-92.83,-69.99,5.11
559,141.48,-36.96,5.74
