hr,lat,lon,mag,fingure_print
202,-63.39,-125.07,6.15,1496.1038
203,-75.68,62.95,6.15,1258.8298
204,-7.56,57.81,6.52,919.83813
205,-18.0,58.05,6.05,1237.7244
206,-79.21,64.45,6.47,1475.7062
207,-3.29,57.67,6.39,988.1903
208,11.98,57.31,5.41,1363.5018
209,-69.54,-125.68,5.8,1385.5964
210,-85.24,71.86,5.5,986.4762
211,-47.38,58.81,5.38,1883.6631
212,9.8,57.32,5.87,1497.1084
213,-50.88,58.78,5.5,2012.0189
214,-43.28,58.43,6.13,1420.4812
215,-38.59,58.26,4.06,1293.4592
216,-56.12,58.87,5.99,1214.2191
217,-41.94,58.18,6.54,1435.8295
218,-80.89,62.66,5.7,1575.5131
219,-5.05,57.4,3.44,999.81866
220,-84.54,65.45,5.57,1282.4558
221,-55.56,58.45,5.93,1350.929
222,-57.57,58.51,5.75,1381.2773
223,-11.9,57.49,4.89,926.6756
224,-55.28,58.27,4.43,1404.1365
225,-45.92,57.91,5.07,1878.1273
226,-21.79,57.4,4.53,1780.7871
227,-76.42,59.16,5.59,1527.6177
228,-86.97,66.64,5.9,925.64526
229,-70.42,-124.21,6.27,1340.9962
230,-35.16,57.49,7.0,1275.9769
231,-35.16,57.49,7.1,1275.9769
232,-86.21,63.61,6.28,1015.0288
233,1.38,57.15,5.39,1502.48
234,-17.87,57.28,6.15,1103.8584
235,-73.51,58.19,5.19,1300.8354
236,-42.2,-123.18,5.07,1575.2621
237,-1.07,57.09,6.07,819.4277
238,-11.36,57.15,6.39,870.90796
239,-73.73,-123.82,6.48,1324.5332
240,20.84,56.97,5.62,1935.206
241,-11.3,57.05,6.21,875.3514
242,-66.14,-123.23,5.22,1989.5923
243,-59.49,57.13,6.37,2047.9058
244,-1.75,56.87,4.82,710.7825
245,-73.42,-122.66,6.9,1296.9255
246,-24.32,56.76,6.69,1313.5386
247,-86.87,51.9,5.46,1068.3375
248,-64.01,56.17,4.77,2630.9512
249,-25.45,56.62,6.06,1516.9406
250,-10.18,56.71,6.27,1192.6754
251,-87.62,47.41,6.46,1170.4196
252,-47.62,-122.81,6.22,1447.5804
253,-3.9,56.61,4.83,906.6458
254,-43.68,56.04,5.74,1595.0447
255,-71.6,54.83,6.16,1664.2651
256,-14.19,56.45,6.27,1443.2318
257,-54.25,-122.51,5.7,1406.1301
258,-39.24,56.03,5.47,1293.3743
259,-38.31,55.97,6.2,1415.3252
260,-4.87,56.43,6.21,958.39886
261,5.91,56.57,6.37,1314.5752
262,-35.65,55.83,6.09,1374.7065
263,-70.19,53.94,5.85,2002.7759
264,-2.15,56.42,2.47,715.522
265,-3.68,56.4,4.63,793.05676
266,-2.5,56.41,5.55,898.5637
267,-74.1,52.96,5.31,1389.2887
268,-88.81,-66.23,6.1,1838.7894
269,-24.36,55.93,3.87,1364.856
270,-47.6,-122.47,5.45,1509.3721
271,-39.43,55.35,4.42,1240.9554
272,-17.02,55.93,6.12,1168.5969
273,3.49,56.36,5.97,1478.4956
274,-33.86,55.38,5.42,1429.272
275,-28.9,55.46,5.98,1879.3218
276,-49.15,54.66,6.32,1829.6844
