hr,lat,lon,mag,fingure_print
333,16.84,56.09,5.64,744.51904
334,-72.58,42.85,3.45,657.5204
335,-15.52,53.89,4.25,940.52905
336,5.97,55.32,5.29,1079.2864
337,-27.1,52.9,2.06,1509.0947
338,-61.71,-117.83,3.92,1801.2615
339,-43.0,51.15,5.55,1101.203
340,-20.65,53.33,5.65,1347.7759
341,-37.22,51.71,5.8,1582.5433
342,1.42,54.9,5.55,918.8033
343,-7.61,54.24,4.33,1122.9862
344,-46.96,50.45,6.06,1433.7006
345,2.23,54.93,5.57,930.2439
346,-71.25,42.52,6.4,752.2356
347,-60.07,47.46,5.95,1413.8911
348,-24.98,52.76,5.81,1298.5542
349,-31.26,52.16,5.16,760.0011
350,-59.26,-118.05,6.41,1561.6787
351,-41.59,50.82,4.66,886.09515
352,-32.58,51.88,4.51,775.16583
353,-64.65,45.16,5.94,1232.7997
354,-1.06,54.5,6.41,889.8071
355,-17.37,53.18,6.11,946.9131
356,-32.58,51.53,6.19,789.48596
357,17.09,55.92,6.26,751.23584
358,-84.13,-72.89,6.52,1541.7083
359,-78.37,-101.6,5.92,1912.687
360,-38.01,50.63,4.65,1585.2998
361,-54.88,47.44,5.24,952.48804
362,-54.87,47.43,6.3,956.32166
363,-34.08,51.06,6.43,987.02966
364,-46.39,49.16,5.98,1675.2881
365,8.97,55.11,7.83,993.1012
366,-70.04,40.2,5.13,1263.7441
367,-55.41,46.86,6.03,1016.35364
368,-63.25,43.99,5.7,1012.5421
369,-14.58,52.76,6.61,1090.7797
370,-71.0,-110.1,4.96,1323.552
371,-29.47,51.09,6.02,1097.7195
372,-17.73,52.3,6.34,892.5675
373,-64.64,42.25,5.41,922.28424
374,-30.8,50.64,6.73,976.5702
375,14.79,55.46,6.31,1030.3247
376,-15.21,52.39,6.25,954.0493
377,-48.1,-119.66,4.86,1563.8717
378,-58.61,44.37,5.16,1446.625
379,-25.17,51.07,6.46,1263.4365
380,-50.53,-118.9,6.24,1535.3489
381,13.48,55.21,6.38,1235.4783
382,-4.43,53.29,4.98,877.90497
383,-35.19,49.44,4.76,1345.2219
384,1.97,53.9,6.34,1040.1248
385,-62.52,41.55,5.87,909.3191
386,15.96,55.43,6.07,785.907
387,-65.12,39.55,6.23,1137.5093
388,-72.71,32.43,6.15,1541.0474
389,-33.68,49.25,5.23,1206.3424
390,-17.0,51.42,4.88,865.7552
391,-4.47,52.86,6.45,828.96844
392,-60.18,41.25,6.2,1244.5101
393,-62.29,40.13,6.49,924.6906
